image,n_seeds,psnr_mean_db,psnr_sd_db,ssim_mean
425_UHD_LL.JPG,5,28.232494,0.005516,0.873658
434_UHD_LL.JPG,5,30.482358,0.005042,0.924449
441_UHD_LL.JPG,5,23.406138,0.004759,0.922200
442_UHD_LL.JPG,5,40.327222,0.008065,0.981216
453_UHD_LL.JPG,5,28.546636,0.013193,0.920375
457_UHD_LL.JPG,5,29.138080,0.005082,0.903808
462_UHD_LL.JPG,5,29.011807,0.018134,0.892705
47_UHD_LL.JPG,5,30.788800,0.018991,0.929845
499_UHD_LL.JPG,5,34.339735,0.045060,0.978979
507_UHD_LL.JPG,5,28.544406,0.011005,0.880199
545_UHD_LL.JPG,5,30.261956,0.069512,0.974861
54_UHD_LL.JPG,5,29.437880,0.048927,0.926288
584_UHD_LL.JPG,5,32.632239,0.046548,0.972420
60_UHD_LL.JPG,5,29.064924,0.017323,0.971928
627_UHD_LL.JPG,5,25.036823,0.010575,0.970016
63_UHD_LL.JPG,5,23.457592,0.038652,0.943825
649_UHD_LL.JPG,5,28.506072,0.025115,0.923858
674_UHD_LL.JPG,5,26.026487,0.019894,0.913717
677_UHD_LL.JPG,5,31.560874,0.034360,0.923218
685_UHD_LL.JPG,5,36.629162,0.038891,0.969871
690_UHD_LL.JPG,5,27.572756,0.030050,0.893511
692_UHD_LL.JPG,5,22.647610,0.051036,0.885695
697_UHD_LL.JPG,5,19.916933,0.068405,0.850859
704_UHD_LL.JPG,5,37.605156,0.024361,0.969290
708_UHD_LL.JPG,5,26.605155,0.017256,0.867586
70_UHD_LL.JPG,5,32.586943,0.008165,0.971879
720_UHD_LL.JPG,5,32.834182,0.082620,0.960868
727_UHD_LL.JPG,5,23.838687,0.022623,0.902773
741_UHD_LL.JPG,5,28.689911,0.042309,0.938569
752_UHD_LL.JPG,5,29.917839,0.001832,0.908943
769_UHD_LL.JPG,5,32.094100,0.013805,0.907485
771_UHD_LL.JPG,5,27.031754,0.011077,0.933599
788_UHD_LL.JPG,5,25.548919,0.026158,0.935976
7_UHD_LL.JPG,5,29.496851,0.019912,0.942710
810_UHD_LL.JPG,5,18.353691,0.007090,0.914071
869_UHD_LL.JPG,5,37.345995,0.006840,0.972216
874_UHD_LL.JPG,5,28.289860,0.027169,0.904211
879_UHD_LL.JPG,5,30.243447,0.003419,0.881894
890_UHD_LL.JPG,5,33.664045,0.056129,0.962628
895_UHD_LL.JPG,5,30.627114,0.056070,0.923257
8_UHD_LL.JPG,5,22.429474,0.005087,0.728989
914_UHD_LL.JPG,5,30.564164,0.088743,0.951231
920_UHD_LL.JPG,5,30.911362,0.041715,0.897036
945_UHD_LL.JPG,5,28.541034,0.023379,0.859365
94_UHD_LL.JPG,5,31.064315,0.044075,0.920347
967_UHD_LL.JPG,5,17.787947,0.031208,0.857185
999_UHD_LL.JPG,5,23.584530,0.050894,0.971129
